"class" "cap-color" "habitat" "ring-number" "odor"
"87" "edible" "white" "grasses" "one" "almond"
"88" "edible" "white" "grasses" "one" "anise"
"89" "edible" "brown" "grasses" "one" "anise"
"90" "edible" "brown" "urban" "one" "none"
"91" "edible" "brown" "urban" "one" "none"
"92" "edible" "white" "grasses" "one" "anise"
"93" "edible" "yellow" "grasses" "one" "almond"
"94" "edible" "yellow" "meadows" "one" "anise"
"95" "edible" "brown" "grasses" "one" "none"
"96" "edible" "white" "grasses" "one" "almond"
"97" "edible" "brown" "grasses" "one" "anise"
"98" "edible" "yellow" "grasses" "one" "almond"
"99" "edible" "white" "grasses" "one" "almond"
"100" "edible" "white" "grasses" "one" "almond"
"101" "edible" "brown" "grasses" "one" "none"
"102" "edible" "yellow" "grasses" "one" "anise"
"103" "edible" "yellow" "grasses" "one" "anise"
"104" "edible" "yellow" "paths" "one" "almond"
"105" "edible" "white" "grasses" "one" "anise"
"106" "edible" "yellow" "meadows" "one" "almond"
"107" "edible" "yellow" "grasses" "one" "almond"
"108" "edible" "white" "meadows" "one" "anise"
"109" "edible" "white" "meadows" "one" "almond"
"110" "edible" "yellow" "meadows" "one" "almond"
"111" "edible" "yellow" "grasses" "one" "anise"
"112" "edible" "gray" "urban" "one" "none"
"113" "edible" "white" "woods" "one" "almond"
"114" "edible" "yellow" "meadows" "one" "almond"
"115" "poison" "white" "urban" "one" "pungent"
"116" "edible" "yellow" "grasses" "one" "anise"
"117" "edible" "gray" "urban" "one" "none"
"118" "edible" "yellow" "grasses" "one" "anise"
"119" "edible" "yellow" "woods" "one" "anise"
"120" "edible" "brown" "urban" "one" "none"
"121" "poison" "white" "grasses" "one" "pungent"
"122" "edible" "white" "meadows" "one" "almond"
"123" "poison" "brown" "grasses" "one" "pungent"
"124" "edible" "gray" "grasses" "one" "none"
"125" "edible" "yellow" "meadows" "one" "anise"
"126" "edible" "white" "grasses" "one" "none"
"127" "edible" "yellow" "grasses" "one" "almond"
"128" "edible" "gray" "grasses" "one" "none"
"129" "edible" "white" "grasses" "one" "anise"
"130" "edible" "white" "meadows" "one" "anise"
"131" "edible" "white" "grasses" "one" "anise"
"132" "edible" "white" "meadows" "one" "anise"
"133" "edible" "white" "woods" "one" "anise"
"134" "edible" "yellow" "meadows" "one" "anise"
"135" "edible" "white" "woods" "one" "almond"
"136" "poison" "white" "urban" "one" "pungent"
"137" "edible" "white" "woods" "one" "anise"
"138" "edible" "yellow" "grasses" "one" "almond"
"139" "poison" "brown" "grasses" "one" "pungent"
"140" "edible" "yellow" "grasses" "one" "anise"
"141" "edible" "brown" "paths" "one" "almond"
"142" "edible" "yellow" "meadows" "one" "anise"
"143" "edible" "brown" "urban" "one" "none"
"144" "edible" "brown" "paths" "one" "almond"
"145" "edible" "yellow" "grasses" "one" "almond"
"146" "edible" "gray" "grasses" "one" "none"
"147" "edible" "white" "grasses" "one" "none"
"148" "edible" "yellow" "meadows" "one" "anise"
"149" "edible" "yellow" "grasses" "one" "anise"
"150" "edible" "white" "meadows" "one" "almond"
"151" "edible" "white" "grasses" "one" "almond"
"152" "edible" "brown" "grasses" "one" "none"
"153" "edible" "white" "grasses" "one" "anise"
"154" "edible" "brown" "urban" "one" "none"
"155" "edible" "white" "woods" "one" "almond"
"156" "edible" "brown" "grasses" "one" "anise"
"157" "edible" "yellow" "grasses" "one" "almond"
"158" "edible" "white" "grasses" "one" "almond"
"159" "edible" "white" "meadows" "one" "almond"
"160" "edible" "yellow" "grasses" "one" "almond"
"161" "edible" "yellow" "meadows" "one" "anise"
"162" "edible" "yellow" "grasses" "one" "almond"
"163" "edible" "brown" "urban" "one" "none"
"164" "edible" "brown" "grasses" "one" "anise"
"165" "edible" "white" "grasses" "one" "almond"
"166" "edible" "yellow" "paths" "one" "anise"
"167" "edible" "white" "grasses" "one" "almond"
"168" "edible" "white" "meadows" "one" "almond"
"169" "edible" "brown" "grasses" "one" "anise"
"170" "edible" "white" "grasses" "one" "almond"
"171" "edible" "gray" "urban" "one" "none"
"172" "edible" "yellow" "grasses" "one" "anise"
"173" "edible" "yellow" "woods" "one" "anise"
"174" "edible" "yellow" "grasses" "one" "almond"
"175" "edible" "yellow" "grasses" "one" "anise"
"176" "edible" "white" "meadows" "one" "anise"
"177" "edible" "white" "meadows" "one" "almond"
"178" "edible" "yellow" "grasses" "one" "almond"
"179" "edible" "yellow" "meadows" "one" "anise"
"180" "edible" "yellow" "grasses" "one" "anise"
"181" "poison" "white" "urban" "one" "pungent"
"182" "edible" "brown" "urban" "one" "none"
"183" "edible" "brown" "urban" "one" "none"
"184" "edible" "yellow" "meadows" "one" "almond"
"185" "edible" "brown" "paths" "one" "almond"
"186" "poison" "white" "grasses" "one" "pungent"
"187" "edible" "white" "meadows" "one" "anise"
"188" "edible" "gray" "urban" "one" "none"
"189" "edible" "yellow" "grasses" "one" "anise"
"190" "edible" "brown" "paths" "one" "almond"
"191" "edible" "white" "grasses" "one" "none"
"192" "edible" "white" "woods" "one" "anise"
"193" "edible" "white" "meadows" "one" "anise"
"194" "edible" "yellow" "woods" "one" "almond"
"195" "edible" "yellow" "meadows" "one" "almond"
"196" "edible" "gray" "urban" "one" "none"
"197" "edible" "yellow" "grasses" "one" "almond"
"198" "edible" "white" "meadows" "one" "anise"
"199" "edible" "white" "meadows" "one" "anise"
"200" "edible" "white" "woods" "one" "almond"
"201" "edible" "yellow" "grasses" "one" "anise"
"202" "edible" "white" "grasses" "one" "anise"
"203" "edible" "white" "grasses" "one" "almond"
"204" "edible" "white" "grasses" "one" "none"
"205" "edible" "brown" "paths" "one" "anise"
"206" "poison" "white" "urban" "one" "pungent"
"207" "edible" "white" "grasses" "one" "almond"
"208" "edible" "white" "meadows" "one" "almond"
"209" "edible" "white" "grasses" "one" "anise"
"210" "edible" "white" "grasses" "one" "almond"
"211" "edible" "yellow" "grasses" "one" "almond"
"212" "edible" "white" "meadows" "one" "anise"
"213" "edible" "yellow" "woods" "one" "almond"
"214" "edible" "gray" "urban" "one" "none"
"215" "edible" "yellow" "grasses" "one" "almond"
"216" "edible" "white" "meadows" "one" "anise"
"217" "edible" "yellow" "grasses" "one" "almond"
"218" "edible" "yellow" "grasses" "one" "almond"
"219" "edible" "white" "grasses" "one" "anise"
"220" "edible" "gray" "urban" "one" "none"
"221" "edible" "white" "meadows" "one" "almond"
"222" "poison" "white" "grasses" "one" "pungent"
"223" "edible" "yellow" "grasses" "one" "almond"
"224" "edible" "white" "woods" "one" "almond"
"225" "edible" "white" "meadows" "one" "anise"
"226" "edible" "white" "grasses" "one" "anise"
"227" "edible" "white" "grasses" "one" "almond"
"228" "edible" "yellow" "grasses" "one" "almond"
"229" "poison" "brown" "urban" "one" "pungent"
"230" "edible" "yellow" "grasses" "one" "almond"
"231" "edible" "gray" "urban" "one" "none"
"232" "poison" "white" "urban" "one" "pungent"
"233" "edible" "yellow" "paths" "one" "anise"
"234" "edible" "brown" "urban" "one" "none"
"235" "edible" "white" "grasses" "one" "anise"
"236" "edible" "white" "woods" "one" "anise"
"237" "edible" "white" "grasses" "one" "anise"
"238" "edible" "yellow" "grasses" "one" "anise"
"239" "edible" "yellow" "grasses" "one" "anise"
"240" "edible" "yellow" "paths" "one" "almond"
"241" "edible" "yellow" "paths" "one" "almond"
"242" "edible" "white" "grasses" "one" "anise"
"243" "edible" "white" "meadows" "one" "almond"
"244" "poison" "white" "urban" "one" "pungent"
"245" "edible" "white" "woods" "one" "almond"
"246" "edible" "white" "grasses" "one" "anise"
"247" "edible" "white" "woods" "one" "anise"
"248" "edible" "white" "meadows" "one" "almond"
"249" "edible" "yellow" "paths" "one" "anise"
"250" "edible" "brown" "grasses" "one" "none"
"251" "edible" "yellow" "grasses" "one" "almond"
"252" "poison" "brown" "grasses" "one" "pungent"
"253" "edible" "brown" "urban" "one" "none"
"254" "edible" "yellow" "meadows" "one" "anise"
"255" "edible" "white" "grasses" "one" "anise"
"256" "edible" "white" "meadows" "one" "anise"
"257" "edible" "brown" "urban" "one" "none"
"258" "edible" "white" "meadows" "one" "almond"
"259" "edible" "white" "grasses" "one" "anise"
"260" "edible" "white" "meadows" "one" "almond"
"261" "edible" "brown" "grasses" "one" "anise"
"262" "poison" "white" "grasses" "one" "pungent"
"263" "edible" "white" "grasses" "one" "almond"
"264" "edible" "white" "meadows" "one" "almond"
"265" "edible" "white" "woods" "one" "anise"
"266" "edible" "gray" "urban" "one" "none"
"267" "edible" "gray" "grasses" "one" "none"
"268" "edible" "yellow" "meadows" "one" "almond"
"269" "edible" "white" "meadows" "one" "almond"
"270" "poison" "brown" "urban" "one" "pungent"
"271" "edible" "white" "meadows" "one" "anise"
"272" "poison" "brown" "urban" "one" "pungent"
"273" "edible" "white" "grasses" "one" "anise"
"274" "edible" "yellow" "meadows" "one" "almond"
"275" "edible" "yellow" "paths" "one" "almond"
"276" "edible" "brown" "paths" "one" "almond"
"277" "edible" "brown" "grasses" "one" "almond"
"278" "edible" "white" "meadows" "one" "almond"
"279" "edible" "brown" "grasses" "one" "none"
"280" "edible" "yellow" "meadows" "one" "anise"
"281" "poison" "white" "grasses" "one" "pungent"
"282" "edible" "yellow" "meadows" "one" "almond"
"283" "edible" "brown" "urban" "one" "none"
"284" "edible" "yellow" "meadows" "one" "anise"
"285" "edible" "white" "meadows" "one" "anise"
"286" "edible" "brown" "grasses" "one" "almond"
"287" "edible" "yellow" "meadows" "one" "almond"
"288" "edible" "white" "grasses" "one" "almond"
"289" "edible" "brown" "paths" "one" "anise"
"290" "edible" "gray" "urban" "one" "none"
"291" "edible" "gray" "urban" "one" "none"
"292" "edible" "yellow" "grasses" "one" "anise"
"293" "edible" "yellow" "meadows" "one" "anise"
"294" "edible" "white" "grasses" "one" "anise"
"295" "edible" "white" "meadows" "one" "almond"
"296" "edible" "yellow" "meadows" "one" "almond"
"297" "edible" "yellow" "meadows" "one" "almond"
"298" "edible" "gray" "grasses" "one" "none"
"299" "edible" "yellow" "woods" "one" "almond"
"300" "poison" "white" "grasses" "one" "pungent"
"301" "edible" "white" "grasses" "one" "none"
"302" "edible" "white" "grasses" "one" "almond"
"303" "edible" "yellow" "woods" "one" "anise"
"304" "edible" "white" "grasses" "one" "almond"
"305" "edible" "white" "grasses" "one" "anise"
"306" "edible" "brown" "woods" "one" "none"
"307" "edible" "white" "meadows" "one" "anise"
"308" "edible" "yellow" "meadows" "one" "anise"
"309" "edible" "brown" "grasses" "one" "almond"
"310" "edible" "white" "grasses" "one" "none"
"311" "edible" "yellow" "grasses" "one" "anise"
"312" "poison" "white" "grasses" "one" "pungent"
"313" "edible" "yellow" "grasses" "one" "anise"
"314" "edible" "white" "woods" "one" "almond"
"315" "edible" "yellow" "grasses" "one" "almond"
"316" "poison" "white" "urban" "one" "pungent"
"317" "edible" "yellow" "woods" "one" "almond"
"318" "edible" "white" "meadows" "one" "almond"
"319" "edible" "white" "woods" "one" "anise"
"320" "edible" "white" "woods" "one" "anise"
"321" "edible" "yellow" "meadows" "one" "anise"
"322" "edible" "yellow" "woods" "one" "almond"
"323" "edible" "white" "grasses" "one" "almond"
"324" "edible" "yellow" "meadows" "one" "almond"
"325" "edible" "brown" "paths" "one" "anise"
"326" "edible" "white" "grasses" "one" "anise"
"327" "edible" "yellow" "meadows" "one" "almond"
"328" "poison" "brown" "urban" "one" "pungent"
"329" "edible" "yellow" "grasses" "one" "anise"
"330" "edible" "white" "grasses" "one" "almond"
"331" "poison" "brown" "urban" "one" "pungent"
"332" "edible" "white" "meadows" "one" "anise"
"333" "edible" "yellow" "meadows" "one" "anise"
"334" "edible" "yellow" "grasses" "one" "almond"
"335" "edible" "white" "grasses" "one" "anise"
"336" "edible" "brown" "woods" "one" "none"
"337" "edible" "brown" "grasses" "one" "almond"
"338" "edible" "yellow" "grasses" "one" "anise"
"339" "edible" "gray" "urban" "one" "none"
"340" "edible" "brown" "grasses" "one" "anise"
"341" "edible" "white" "grasses" "one" "almond"
"342" "edible" "white" "grasses" "one" "almond"
"343" "edible" "yellow" "meadows" "one" "almond"
"344" "edible" "yellow" "woods" "one" "almond"
"345" "edible" "yellow" "grasses" "one" "anise"
"346" "edible" "brown" "grasses" "one" "none"
"347" "edible" "yellow" "woods" "one" "anise"
"348" "edible" "yellow" "meadows" "one" "almond"
"349" "edible" "gray" "grasses" "one" "none"
"350" "edible" "brown" "urban" "one" "none"
"351" "edible" "gray" "grasses" "one" "none"
"352" "edible" "brown" "paths" "one" "almond"
"353" "edible" "white" "grasses" "one" "almond"
"354" "edible" "yellow" "meadows" "one" "almond"
"355" "edible" "yellow" "paths" "one" "anise"
"356" "edible" "gray" "urban" "one" "none"
"357" "edible" "brown" "paths" "one" "almond"
"358" "poison" "brown" "urban" "one" "pungent"
"359" "edible" "yellow" "paths" "one" "almond"
"360" "edible" "yellow" "grasses" "one" "almond"
"361" "edible" "brown" "grasses" "one" "none"
"362" "edible" "brown" "grasses" "one" "none"
"363" "edible" "brown" "grasses" "one" "none"
"364" "edible" "brown" "paths" "one" "almond"
"365" "edible" "yellow" "grasses" "one" "almond"
"366" "edible" "brown" "urban" "one" "none"
"367" "edible" "yellow" "paths" "one" "almond"
"368" "edible" "yellow" "woods" "one" "almond"
"369" "edible" "yellow" "grasses" "one" "almond"
"370" "edible" "gray" "grasses" "one" "none"
"371" "edible" "yellow" "grasses" "one" "almond"
"372" "edible" "brown" "grasses" "one" "anise"
"373" "edible" "yellow" "meadows" "one" "almond"
"374" "edible" "brown" "urban" "one" "none"
"375" "edible" "white" "meadows" "one" "almond"
"376" "edible" "white" "grasses" "one" "anise"
"377" "edible" "brown" "urban" "one" "none"
"378" "edible" "yellow" "meadows" "one" "anise"
"379" "edible" "yellow" "grasses" "one" "anise"
"380" "edible" "yellow" "grasses" "one" "almond"
"381" "poison" "brown" "urban" "one" "pungent"
"382" "edible" "white" "grasses" "one" "none"
"383" "edible" "white" "meadows" "one" "almond"
"384" "edible" "white" "grasses" "one" "almond"
"385" "edible" "brown" "woods" "one" "none"
"386" "poison" "brown" "urban" "one" "pungent"
"387" "edible" "brown" "paths" "one" "anise"
"388" "edible" "brown" "grasses" "one" "none"
"389" "edible" "yellow" "meadows" "one" "anise"
"390" "edible" "yellow" "meadows" "one" "almond"
"391" "edible" "yellow" "meadows" "one" "almond"
"392" "edible" "yellow" "meadows" "one" "anise"
"393" "edible" "white" "grasses" "one" "almond"
"394" "edible" "gray" "urban" "one" "none"
"395" "edible" "brown" "grasses" "one" "almond"
"396" "edible" "gray" "grasses" "one" "none"
"397" "edible" "white" "meadows" "one" "anise"
"398" "edible" "yellow" "meadows" "one" "anise"
"399" "edible" "gray" "urban" "one" "none"
"400" "poison" "brown" "urban" "one" "pungent"
"401" "edible" "white" "grasses" "one" "anise"
"402" "edible" "white" "meadows" "one" "almond"
"403" "poison" "brown" "urban" "one" "pungent"
"404" "edible" "yellow" "meadows" "one" "anise"
"405" "edible" "white" "meadows" "one" "anise"
"406" "edible" "yellow" "meadows" "one" "anise"
"407" "edible" "yellow" "grasses" "one" "anise"
"408" "edible" "white" "meadows" "one" "almond"
"409" "edible" "white" "grasses" "one" "almond"
"410" "edible" "brown" "paths" "one" "anise"
"411" "edible" "white" "meadows" "one" "almond"
"412" "edible" "brown" "grasses" "one" "none"
"413" "edible" "brown" "paths" "one" "anise"
"414" "edible" "yellow" "grasses" "one" "anise"
"415" "poison" "brown" "grasses" "one" "pungent"
"416" "edible" "yellow" "grasses" "one" "almond"
"417" "edible" "white" "woods" "one" "anise"
"418" "poison" "brown" "urban" "one" "pungent"
"419" "edible" "yellow" "grasses" "one" "anise"
"420" "edible" "gray" "grasses" "one" "none"
"421" "edible" "white" "grasses" "one" "anise"
"422" "edible" "white" "meadows" "one" "almond"
"423" "poison" "brown" "urban" "one" "pungent"
"424" "edible" "brown" "grasses" "one" "anise"
"425" "edible" "white" "meadows" "one" "anise"
"426" "edible" "white" "woods" "one" "almond"
"427" "edible" "brown" "paths" "one" "almond"
"428" "edible" "white" "meadows" "one" "almond"
"429" "edible" "white" "grasses" "one" "none"
"430" "edible" "gray" "urban" "one" "none"
"431" "edible" "white" "grasses" "one" "almond"
"432" "edible" "yellow" "grasses" "one" "anise"
"433" "edible" "yellow" "grasses" "one" "anise"
"434" "edible" "yellow" "grasses" "one" "anise"
"435" "edible" "white" "woods" "one" "anise"
"436" "edible" "white" "meadows" "one" "almond"
"437" "edible" "yellow" "woods" "one" "almond"
"438" "edible" "white" "meadows" "one" "anise"
"439" "edible" "yellow" "meadows" "one" "anise"
"440" "edible" "brown" "paths" "one" "almond"
"441" "edible" "white" "meadows" "one" "anise"
"442" "edible" "white" "meadows" "one" "anise"
"443" "edible" "yellow" "paths" "one" "almond"
"444" "edible" "white" "meadows" "one" "anise"
"445" "edible" "yellow" "meadows" "one" "anise"
"446" "edible" "brown" "grasses" "one" "anise"
"447" "edible" "white" "grasses" "one" "anise"
"448" "edible" "brown" "grasses" "one" "anise"
"449" "edible" "white" "meadows" "one" "anise"
"450" "edible" "brown" "woods" "one" "none"
"451" "edible" "white" "meadows" "one" "anise"
"452" "edible" "white" "grasses" "one" "anise"
"453" "edible" "yellow" "meadows" "one" "anise"
"454" "edible" "yellow" "woods" "one" "anise"
"455" "edible" "white" "meadows" "one" "anise"
"456" "edible" "gray" "grasses" "one" "none"
"457" "edible" "white" "grasses" "one" "almond"
"458" "edible" "yellow" "meadows" "one" "anise"
"459" "edible" "yellow" "paths" "one" "almond"
"460" "edible" "brown" "paths" "one" "almond"
"461" "edible" "white" "meadows" "one" "almond"
"462" "edible" "yellow" "grasses" "one" "anise"
"463" "edible" "white" "grasses" "one" "almond"
"464" "edible" "yellow" "meadows" "one" "almond"
"465" "edible" "brown" "urban" "one" "none"
"466" "edible" "brown" "grasses" "one" "almond"
"467" "edible" "white" "meadows" "one" "almond"
"468" "edible" "yellow" "grasses" "one" "anise"
"469" "edible" "yellow" "grasses" "one" "anise"
"470" "edible" "yellow" "paths" "one" "almond"
"471" "edible" "yellow" "grasses" "one" "anise"
"472" "edible" "white" "meadows" "one" "almond"
"473" "edible" "white" "woods" "one" "almond"
"474" "edible" "gray" "urban" "one" "none"
"475" "edible" "yellow" "woods" "one" "anise"
"476" "edible" "gray" "urban" "one" "none"
"477" "edible" "brown" "urban" "one" "none"
"478" "edible" "white" "grasses" "one" "almond"
"479" "edible" "white" "woods" "one" "almond"
"480" "edible" "yellow" "meadows" "one" "anise"
"481" "edible" "yellow" "meadows" "one" "almond"
"482" "edible" "yellow" "grasses" "one" "anise"
"483" "edible" "white" "woods" "one" "anise"
"484" "edible" "gray" "urban" "one" "none"
"485" "edible" "white" "woods" "one" "almond"
"486" "edible" "yellow" "grasses" "one" "almond"
"487" "edible" "white" "meadows" "one" "anise"
"488" "edible" "brown" "urban" "one" "none"
"489" "edible" "brown" "paths" "one" "anise"
"490" "edible" "brown" "paths" "one" "almond"
"491" "edible" "yellow" "woods" "one" "almond"
"492" "poison" "brown" "grasses" "one" "pungent"
"493" "poison" "brown" "urban" "one" "pungent"
"494" "edible" "brown" "paths" "one" "anise"
"495" "edible" "yellow" "grasses" "one" "almond"
"496" "edible" "yellow" "meadows" "one" "almond"
"497" "edible" "white" "grasses" "one" "none"
"498" "edible" "brown" "grasses" "one" "almond"
"499" "edible" "white" "grasses" "one" "almond"
"500" "edible" "yellow" "meadows" "one" "anise"
"501" "edible" "yellow" "grasses" "one" "almond"
"502" "edible" "yellow" "grasses" "one" "almond"
"503" "edible" "white" "meadows" "one" "anise"
"504" "edible" "yellow" "meadows" "one" "almond"
"505" "edible" "yellow" "grasses" "one" "almond"
"506" "poison" "brown" "grasses" "one" "pungent"
"507" "edible" "gray" "grasses" "one" "none"
"508" "edible" "brown" "grasses" "one" "none"
"509" "edible" "white" "woods" "one" "almond"
"510" "edible" "gray" "urban" "one" "none"
"511" "edible" "brown" "urban" "one" "none"
"512" "edible" "yellow" "grasses" "one" "almond"
"513" "edible" "white" "woods" "one" "almond"
"514" "edible" "gray" "urban" "one" "none"
"515" "edible" "brown" "urban" "one" "none"
"516" "edible" "white" "grasses" "one" "none"
"517" "edible" "brown" "paths" "one" "anise"
"518" "edible" "yellow" "grasses" "one" "almond"
"519" "edible" "white" "grasses" "one" "anise"
"520" "edible" "yellow" "grasses" "one" "almond"
"521" "edible" "white" "meadows" "one" "anise"
"522" "edible" "white" "grasses" "one" "anise"
"523" "edible" "yellow" "paths" "one" "almond"
"524" "poison" "brown" "urban" "one" "pungent"
"525" "edible" "gray" "urban" "one" "none"
"526" "edible" "yellow" "grasses" "one" "anise"
"527" "edible" "brown" "paths" "one" "almond"
"528" "edible" "yellow" "meadows" "one" "almond"
"529" "edible" "brown" "urban" "one" "none"
"530" "edible" "yellow" "paths" "one" "almond"
"531" "edible" "brown" "paths" "one" "almond"
"532" "edible" "white" "grasses" "one" "almond"
"533" "poison" "white" "grasses" "one" "pungent"
"534" "edible" "brown" "paths" "one" "anise"
"535" "poison" "brown" "grasses" "one" "pungent"
"536" "edible" "white" "grasses" "one" "none"
"537" "edible" "white" "meadows" "one" "almond"
"538" "edible" "brown" "urban" "one" "none"
"539" "edible" "yellow" "meadows" "one" "anise"
"540" "edible" "white" "woods" "one" "almond"
"541" "edible" "yellow" "meadows" "one" "almond"
"542" "edible" "gray" "grasses" "one" "none"
"543" "poison" "white" "grasses" "one" "pungent"
"544" "edible" "yellow" "grasses" "one" "almond"
"545" "edible" "brown" "grasses" "one" "none"
"546" "edible" "white" "meadows" "one" "almond"
"547" "edible" "yellow" "meadows" "one" "anise"
"548" "edible" "gray" "urban" "one" "none"
"549" "edible" "yellow" "woods" "one" "anise"
"550" "edible" "yellow" "meadows" "one" "almond"
"551" "edible" "brown" "urban" "one" "none"
"552" "edible" "gray" "grasses" "one" "none"
"553" "edible" "yellow" "paths" "one" "anise"
"554" "edible" "white" "woods" "one" "anise"
"555" "edible" "yellow" "grasses" "one" "anise"
"556" "edible" "yellow" "paths" "one" "almond"
"557" "poison" "brown" "urban" "one" "pungent"
"558" "edible" "white" "woods" "one" "anise"
"559" "edible" "white" "grasses" "one" "anise"
"560" "edible" "yellow" "meadows" "one" "almond"
"561" "edible" "yellow" "grasses" "one" "almond"
"562" "edible" "yellow" "woods" "one" "almond"
"563" "edible" "yellow" "woods" "one" "almond"
"564" "edible" "white" "grasses" "one" "none"
"565" "edible" "white" "meadows" "one" "almond"
"566" "poison" "white" "grasses" "one" "pungent"
"567" "edible" "yellow" "grasses" "one" "almond"
"568" "edible" "gray" "grasses" "one" "none"
"569" "poison" "brown" "grasses" "one" "pungent"
"570" "edible" "white" "meadows" "one" "almond"
"571" "edible" "white" "meadows" "one" "almond"
"572" "edible" "yellow" "woods" "one" "anise"
"573" "edible" "yellow" "grasses" "one" "almond"
"574" "edible" "white" "grasses" "one" "anise"
"575" "edible" "brown" "grasses" "one" "almond"
"576" "edible" "yellow" "grasses" "one" "anise"
"577" "edible" "brown" "urban" "one" "none"
"578" "edible" "yellow" "grasses" "one" "anise"
"579" "edible" "yellow" "grasses" "one" "anise"
"580" "poison" "brown" "grasses" "one" "pungent"
"581" "edible" "white" "meadows" "one" "almond"
"582" "edible" "yellow" "meadows" "one" "almond"
"583" "edible" "white" "grasses" "one" "anise"
"584" "edible" "yellow" "grasses" "one" "almond"
"585" "edible" "yellow" "grasses" "one" "almond"
"586" "edible" "white" "meadows" "one" "almond"
"587" "edible" "gray" "urban" "one" "none"
"588" "edible" "brown" "urban" "one" "none"
"589" "edible" "gray" "urban" "one" "none"
"590" "edible" "white" "meadows" "one" "almond"
"591" "poison" "white" "urban" "one" "pungent"
