"hotel","site","price","check_in_date"
"The Hotel at Times Square","Hoteling","127","2016-01-01"
"Hudson","Hotels.com","111","2016-01-01"
"Park Central","Venere.com","119","2016-01-01"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-01"
"Cassa Times Square","CheapTickets","","2016-01-01"
"Hotel 32 32","Travelocity","","2016-01-01"
"The Kitano New York","Hotwire","177","2016-01-01"
"Sofitel New York","Prestigia","275","2016-01-01"
"Hampton Inn Manhattan - Times Square North","BookIt.com","120","2016-01-02"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-02"
"The Hotel at Times Square","priceline.com","104","2016-01-02"
"La Quinta Inn & Suites Manhattan","Official hotel website","104","2016-01-02"
"Royalton","TabletHotels","180","2016-01-02"
"Crowne Plaza Times Square Manhattan","Official hotel website","124","2016-01-02"
"The Leon Hotel","priceline.com","111","2016-01-02"
"Warwick New York","priceline.com","163","2016-01-02"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-02"
"Hotel Pennsylvania","Official hotel website","119","2016-01-02"
"Hilton New York","Hotwire","148","2016-01-02"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","112","2016-01-02"
"Doubletree Metropolitan","Hotwire","121","2016-01-02"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","BookIt.com","138","2016-01-02"
"Courtyard New York Manhattan - Chelsea","Official hotel website","110","2016-01-02"
"Pod 39","priceline.com","84","2016-01-02"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","98","2016-01-02"
"Hudson","Hotwire","111","2016-01-02"
"Park Central","Orbitz","119","2016-01-02"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-02"
"Cassa Times Square","Orbitz","","2016-01-02"
"Hotel 32 32","CheapTickets","162","2016-01-02"
"The Kitano New York","priceline.com","177","2016-01-02"
"Sofitel New York","Official hotel website","237","2016-01-02"
"Edison","Hotwire","100","2016-01-02"
"Hampton Inn Manhattan - Times Square North","Orbitz","120","2016-01-02"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-02"
"The Hotel at Times Square","otel.com","111","2016-01-02"
"La Quinta Inn & Suites Manhattan","priceline.com","104","2016-01-02"
"Royalton","priceline.com","180","2016-01-02"
"Crowne Plaza Times Square Manhattan","priceline.com","111","2016-01-02"
"The Leon Hotel","Hotwire","131","2016-01-02"
"Warwick New York","Amoma.com","164","2016-01-02"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-02"
"Hotel Pennsylvania","otel.com","87","2016-01-02"
"Hilton New York","Hotels.com","148","2016-01-02"
"Four Points by Sheraton Manhattan SoHo Village","Hotwire","112","2016-01-02"
"Doubletree Metropolitan","priceline.com","121","2016-01-02"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Hotwire","138","2016-01-02"
"Courtyard New York Manhattan - Chelsea","Booking.com","110","2016-01-02"
"Pod 39","Hotwire","84","2016-01-02"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","98","2016-01-02"
"Hudson","BookIt.com","111","2016-01-02"
"Park Central","Travelocity","119","2016-01-02"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-02"
"Cassa Times Square","priceline.com","","2016-01-02"
"Hotel 32 32","Orbitz","177","2016-01-02"
"The Kitano New York","Orbitz","177","2016-01-02"
"Sofitel New York","Venere.com","237","2016-01-02"
"Edison","priceline.com","100","2016-01-02"
"Hampton Inn Manhattan - Times Square North","priceline.com","120","2016-01-02"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-02"
"The Hotel at Times Square","Hoteling","125","2016-01-02"
"La Quinta Inn & Suites Manhattan","Hoteling","124","2016-01-02"
"Royalton","Hotwire","193","2016-01-02"
"Crowne Plaza Times Square Manhattan","Hotwire","124","2016-01-02"
"The Leon Hotel","Hotels.com","132","2016-01-02"
"Warwick New York","GetaRoom","164","2016-01-02"
"TRYP By Wyndham Times Square South","Venere.com","207","2016-01-02"
"Hotel Pennsylvania","Travelocity","118","2016-01-02"
"Hilton New York","priceline.com","148","2016-01-02"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","112","2016-01-02"
"Doubletree Metropolitan","Orbitz","121","2016-01-02"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Expedia","138","2016-01-02"
"Courtyard New York Manhattan - Chelsea","Hoteling","153","2016-01-02"
"Pod 39","Venere.com","85","2016-01-02"
"Four Points by Sheraton Midtown - Times Square","Expedia","103","2016-01-02"
"Hudson","Travelocity","111","2016-01-02"
"Park Central","priceline.com","119","2016-01-02"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-02"
"Cassa Times Square","CheapTickets","","2016-01-02"
"Hotel 32 32","Travelocity","","2016-01-02"
"The Kitano New York","Hotwire","177","2016-01-02"
"Sofitel New York","Prestigia","275","2016-01-02"
"Edison","Expedia","100","2016-01-02"
"The Hotel at Times Square","priceline.com","104","2016-01-03"
"Grand Hyatt","priceline.com","143","2016-01-03"
"Holiday Inn New York City - Wall Street","Official hotel website","87","2016-01-03"
"The Jane","Travelocity","95","2016-01-03"
"Novotel New York Times Square","Official hotel website","133","2016-01-03"
"Royalton","TabletHotels","180","2016-01-03"
"Crowne Plaza Times Square Manhattan","Official hotel website","142","2016-01-03"
"The Leon Hotel","priceline.com","111","2016-01-03"
"Distrikt Hotel","Expedia","128","2016-01-03"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","102","2016-01-03"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-03"
"Hotel Pennsylvania","Official hotel website","118","2016-01-03"
"Hilton New York","Hotwire","148","2016-01-03"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","104","2016-01-03"
"Doubletree Metropolitan","Hotwire","121","2016-01-03"
"New York Marriott Marquis","Official hotel website","160","2016-01-03"
"Ramada Inn Eastside","priceline.com","104","2016-01-03"
"Courtyard New York Manhattan - Chelsea","Official hotel website","103","2016-01-03"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-03"
"Pod 39","priceline.com","84","2016-01-03"
"Courtyard New York Times Square West","Official hotel website","133","2016-01-03"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","94","2016-01-03"
"Hudson","Expedia","117","2016-01-03"
"Park Central","priceline.com","119","2016-01-03"
"Paramount","Hotwire","112","2016-01-03"
"The Hotel at Times Square","otel.com","111","2016-01-03"
"Grand Hyatt","otel.com","153","2016-01-03"
"Holiday Inn New York City - Wall Street","Expedia","87","2016-01-03"
"The Jane","Hotels.com","96","2016-01-03"
"Novotel New York Times Square","Hotwire","133","2016-01-03"
"Royalton","priceline.com","182","2016-01-03"
"Crowne Plaza Times Square Manhattan","priceline.com","127","2016-01-03"
"The Leon Hotel","Hotwire","131","2016-01-03"
"Distrikt Hotel","Orbitz","128","2016-01-03"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","102","2016-01-03"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-03"
"Hotel Pennsylvania","otel.com","107","2016-01-03"
"Hilton New York","Hotels.com","148","2016-01-03"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","104","2016-01-03"
"Doubletree Metropolitan","priceline.com","121","2016-01-03"
"New York Marriott Marquis","priceline.com","160","2016-01-03"
"Ramada Inn Eastside","HotelTravel","107","2016-01-03"
"Courtyard New York Manhattan - Chelsea","Booking.com","103","2016-01-03"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-03"
"Pod 39","Hotwire","84","2016-01-03"
"Courtyard New York Times Square West","Hotwire","118","2016-01-03"
"Four Points by Sheraton Midtown - Times Square","Hotwire","94","2016-01-03"
"Hudson","Travelocity","117","2016-01-03"
"Park Central","Hotwire","119","2016-01-03"
"Paramount","Expedia","112","2016-01-03"
"The Hotel at Times Square","Amoma.com","124","2016-01-03"
"Grand Hyatt","Orbitz","158","2016-01-03"
"Holiday Inn New York City - Wall Street","Amoma.com","171","2016-01-03"
"The Jane","Booking.com","98","2016-01-03"
"Novotel New York Times Square","Amoma.com","276","2016-01-03"
"Royalton","Hotwire","193","2016-01-03"
"Crowne Plaza Times Square Manhattan","Hotwire","142","2016-01-03"
"The Leon Hotel","Expedia","131","2016-01-03"
"Distrikt Hotel","Venere.com","128","2016-01-03"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","216","2016-01-03"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-03"
"Hotel Pennsylvania","Hotels.com","119","2016-01-03"
"Hilton New York","priceline.com","148","2016-01-03"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","105","2016-01-03"
"Doubletree Metropolitan","Expedia","121","2016-01-03"
"New York Marriott Marquis","Amoma.com","256","2016-01-03"
"Ramada Inn Eastside","Amoma.com","124","2016-01-03"
"Courtyard New York Manhattan - Chelsea","Amoma.com","187","2016-01-03"
"Hampton Inn Manhattan-Seaport-Financial District","priceline.com","103","2016-01-03"
"Pod 39","Expedia","85","2016-01-03"
"Courtyard New York Times Square West","Amoma.com","226","2016-01-03"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","94","2016-01-03"
"Hudson","Venere.com","117","2016-01-03"
"Park Central","Hotels.com","119","2016-01-03"
"Paramount","priceline.com","112","2016-01-03"
"The Hotel at Times Square","priceline.com","104","2016-01-04"
"Grand Hyatt","priceline.com","143","2016-01-04"
"Holiday Inn New York City - Wall Street","Official hotel website","87","2016-01-04"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-04"
"The Jane","Travelocity","95","2016-01-04"
"Novotel New York Times Square","Official hotel website","133","2016-01-04"
"Royalton","TabletHotels","180","2016-01-04"
"Crowne Plaza Times Square Manhattan","Official hotel website","142","2016-01-04"
"The Leon Hotel","priceline.com","111","2016-01-04"
"Distrikt Hotel","Hotwire","128","2016-01-04"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","102","2016-01-04"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-04"
"Hotel Pennsylvania","Official hotel website","118","2016-01-04"
"Hilton New York","Hotwire","148","2016-01-04"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","104","2016-01-04"
"Doubletree Metropolitan","Hotwire","121","2016-01-04"
"New York Marriott Marquis","Official hotel website","160","2016-01-04"
"Ramada Inn Eastside","priceline.com","104","2016-01-04"
"Courtyard New York Manhattan - Chelsea","Official hotel website","103","2016-01-04"
"Pod 39","priceline.com","84","2016-01-04"
"Courtyard New York Times Square West","Official hotel website","133","2016-01-04"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","94","2016-01-04"
"Hudson","Hotwire","117","2016-01-04"
"Park Central","priceline.com","119","2016-01-04"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-04"
"The Hotel at Times Square","otel.com","111","2016-01-04"
"Grand Hyatt","otel.com","153","2016-01-04"
"Holiday Inn New York City - Wall Street","Expedia","87","2016-01-04"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-04"
"The Jane","Hotels.com","96","2016-01-04"
"Novotel New York Times Square","Hotwire","133","2016-01-04"
"Royalton","priceline.com","182","2016-01-04"
"Crowne Plaza Times Square Manhattan","priceline.com","127","2016-01-04"
"The Leon Hotel","Hotwire","131","2016-01-04"
"Distrikt Hotel","Expedia","128","2016-01-04"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","102","2016-01-04"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-04"
"Hotel Pennsylvania","otel.com","107","2016-01-04"
"Hilton New York","Hotels.com","148","2016-01-04"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","104","2016-01-04"
"Doubletree Metropolitan","priceline.com","121","2016-01-04"
"New York Marriott Marquis","Hotwire","160","2016-01-04"
"Ramada Inn Eastside","HotelTravel","107","2016-01-04"
"Courtyard New York Manhattan - Chelsea","Booking.com","103","2016-01-04"
"Pod 39","Hotwire","84","2016-01-04"
"Courtyard New York Times Square West","Hotwire","118","2016-01-04"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","94","2016-01-04"
"Hudson","Expedia","117","2016-01-04"
"Park Central","Hotwire","119","2016-01-04"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-04"
"The Hotel at Times Square","Amoma.com","124","2016-01-04"
"Grand Hyatt","Hotwire","158","2016-01-04"
"Holiday Inn New York City - Wall Street","Amoma.com","171","2016-01-04"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-04"
"The Jane","Booking.com","98","2016-01-04"
"Novotel New York Times Square","Amoma.com","276","2016-01-04"
"Royalton","Hotwire","193","2016-01-04"
"Crowne Plaza Times Square Manhattan","Hotwire","142","2016-01-04"
"The Leon Hotel","Expedia","131","2016-01-04"
"Distrikt Hotel","Orbitz","128","2016-01-04"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","216","2016-01-04"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-04"
"Hotel Pennsylvania","Hotels.com","119","2016-01-04"
"Hilton New York","priceline.com","148","2016-01-04"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","105","2016-01-04"
"Doubletree Metropolitan","Expedia","121","2016-01-04"
"New York Marriott Marquis","Amoma.com","256","2016-01-04"
"Ramada Inn Eastside","Amoma.com","124","2016-01-04"
"Courtyard New York Manhattan - Chelsea","Amoma.com","187","2016-01-04"
"Pod 39","Expedia","85","2016-01-04"
"Courtyard New York Times Square West","Amoma.com","226","2016-01-04"
"Four Points by Sheraton Midtown - Times Square","Orbitz","98","2016-01-04"
"Hudson","Travelocity","117","2016-01-04"
"Park Central","Hotels.com","119","2016-01-04"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-04"
"The Hotel at Times Square","priceline.com","104","2016-01-05"
"Grand Hyatt","priceline.com","143","2016-01-05"
"Holiday Inn New York City - Wall Street","Official hotel website","87","2016-01-05"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-05"
"The Jane","Travelocity","95","2016-01-05"
"Novotel New York Times Square","Official hotel website","133","2016-01-05"
"Royalton","TabletHotels","180","2016-01-05"
"Crowne Plaza Times Square Manhattan","Official hotel website","142","2016-01-05"
"The Leon Hotel","priceline.com","111","2016-01-05"
"Distrikt Hotel","Hotwire","128","2016-01-05"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","102","2016-01-05"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-05"
"Hotel Pennsylvania","Official hotel website","118","2016-01-05"
"Hilton New York","Hotwire","148","2016-01-05"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","104","2016-01-05"
"Doubletree Metropolitan","Hotwire","121","2016-01-05"
"New York Marriott Marquis","Official hotel website","160","2016-01-05"
"Ramada Inn Eastside","priceline.com","104","2016-01-05"
"Courtyard New York Manhattan - Chelsea","Official hotel website","103","2016-01-05"
"Pod 39","priceline.com","84","2016-01-05"
"Courtyard New York Times Square West","Official hotel website","133","2016-01-05"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","94","2016-01-05"
"Hudson","Hotwire","117","2016-01-05"
"Park Central","priceline.com","119","2016-01-05"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-05"
"The Hotel at Times Square","otel.com","111","2016-01-05"
"Grand Hyatt","otel.com","153","2016-01-05"
"Holiday Inn New York City - Wall Street","Expedia","87","2016-01-05"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-05"
"The Jane","Hotels.com","96","2016-01-05"
"Novotel New York Times Square","Hotwire","133","2016-01-05"
"Royalton","priceline.com","182","2016-01-05"
"Crowne Plaza Times Square Manhattan","priceline.com","127","2016-01-05"
"The Leon Hotel","Hotwire","131","2016-01-05"
"Distrikt Hotel","Expedia","128","2016-01-05"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","102","2016-01-05"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-05"
"Hotel Pennsylvania","otel.com","107","2016-01-05"
"Hilton New York","Hotels.com","148","2016-01-05"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","104","2016-01-05"
"Doubletree Metropolitan","priceline.com","121","2016-01-05"
"New York Marriott Marquis","Hotwire","160","2016-01-05"
"Ramada Inn Eastside","HotelTravel","107","2016-01-05"
"Courtyard New York Manhattan - Chelsea","Booking.com","103","2016-01-05"
"Pod 39","Hotwire","84","2016-01-05"
"Courtyard New York Times Square West","Hotwire","118","2016-01-05"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","94","2016-01-05"
"Hudson","Expedia","117","2016-01-05"
"Park Central","Hotwire","119","2016-01-05"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-05"
"The Hotel at Times Square","Amoma.com","124","2016-01-05"
"Grand Hyatt","Hotwire","158","2016-01-05"
"Holiday Inn New York City - Wall Street","Amoma.com","171","2016-01-05"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-05"
"The Jane","Booking.com","98","2016-01-05"
"Novotel New York Times Square","Amoma.com","276","2016-01-05"
"Royalton","Hotwire","193","2016-01-05"
"Crowne Plaza Times Square Manhattan","Hotwire","142","2016-01-05"
"The Leon Hotel","Expedia","131","2016-01-05"
"Distrikt Hotel","Orbitz","128","2016-01-05"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","216","2016-01-05"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-05"
"Hotel Pennsylvania","Hotels.com","119","2016-01-05"
"Hilton New York","priceline.com","148","2016-01-05"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","105","2016-01-05"
"Doubletree Metropolitan","Expedia","121","2016-01-05"
"New York Marriott Marquis","Amoma.com","256","2016-01-05"
"Ramada Inn Eastside","Amoma.com","124","2016-01-05"
"Courtyard New York Manhattan - Chelsea","Amoma.com","187","2016-01-05"
"Pod 39","Expedia","85","2016-01-05"
"Courtyard New York Times Square West","Amoma.com","226","2016-01-05"
"Four Points by Sheraton Midtown - Times Square","Orbitz","98","2016-01-05"
"Hudson","Travelocity","117","2016-01-05"
"Park Central","Hotels.com","119","2016-01-05"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-05"
"The Hotel at Times Square","priceline.com","104","2016-01-06"
"Grand Hyatt","priceline.com","143","2016-01-06"
"Holiday Inn New York City - Wall Street","Official hotel website","87","2016-01-06"
"The Jane","Travelocity","95","2016-01-06"
"Novotel New York Times Square","Official hotel website","133","2016-01-06"
"Royalton","TabletHotels","180","2016-01-06"
"Crowne Plaza Times Square Manhattan","Official hotel website","142","2016-01-06"
"The Leon Hotel","priceline.com","111","2016-01-06"
"Distrikt Hotel","Expedia","128","2016-01-06"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","102","2016-01-06"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-06"
"Hotel Pennsylvania","Official hotel website","118","2016-01-06"
"Hilton New York","Hotwire","148","2016-01-06"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","104","2016-01-06"
"Doubletree Metropolitan","Hotwire","121","2016-01-06"
"New York Marriott Marquis","Official hotel website","160","2016-01-06"
"Ramada Inn Eastside","priceline.com","104","2016-01-06"
"Courtyard New York Manhattan - Chelsea","Official hotel website","103","2016-01-06"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-06"
"Pod 39","priceline.com","84","2016-01-06"
"Courtyard New York Times Square West","Official hotel website","133","2016-01-06"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","94","2016-01-06"
"Hudson","Expedia","117","2016-01-06"
"Park Central","priceline.com","119","2016-01-06"
"Paramount","Hotwire","112","2016-01-06"
"The Hotel at Times Square","otel.com","111","2016-01-06"
"Grand Hyatt","otel.com","153","2016-01-06"
"Holiday Inn New York City - Wall Street","Expedia","87","2016-01-06"
"The Jane","Hotels.com","96","2016-01-06"
"Novotel New York Times Square","Hotwire","133","2016-01-06"
"Royalton","priceline.com","182","2016-01-06"
"Crowne Plaza Times Square Manhattan","priceline.com","127","2016-01-06"
"The Leon Hotel","Hotwire","131","2016-01-06"
"Distrikt Hotel","Orbitz","128","2016-01-06"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","102","2016-01-06"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-06"
"Hotel Pennsylvania","otel.com","107","2016-01-06"
"Hilton New York","Hotels.com","148","2016-01-06"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","104","2016-01-06"
"Doubletree Metropolitan","priceline.com","121","2016-01-06"
"New York Marriott Marquis","priceline.com","160","2016-01-06"
"Ramada Inn Eastside","HotelTravel","107","2016-01-06"
"Courtyard New York Manhattan - Chelsea","Booking.com","103","2016-01-06"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-06"
"Pod 39","Hotwire","84","2016-01-06"
"Courtyard New York Times Square West","Hotwire","118","2016-01-06"
"Four Points by Sheraton Midtown - Times Square","Hotwire","94","2016-01-06"
"Hudson","Travelocity","117","2016-01-06"
"Park Central","Hotwire","119","2016-01-06"
"Paramount","Expedia","112","2016-01-06"
"The Hotel at Times Square","Amoma.com","124","2016-01-06"
"Grand Hyatt","Orbitz","158","2016-01-06"
"Holiday Inn New York City - Wall Street","Amoma.com","171","2016-01-06"
"The Jane","Booking.com","98","2016-01-06"
"Novotel New York Times Square","Amoma.com","276","2016-01-06"
"Royalton","Hotwire","193","2016-01-06"
"Crowne Plaza Times Square Manhattan","Hotwire","142","2016-01-06"
"The Leon Hotel","Expedia","131","2016-01-06"
"Distrikt Hotel","Venere.com","128","2016-01-06"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","216","2016-01-06"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-06"
"Hotel Pennsylvania","Hotels.com","119","2016-01-06"
"Hilton New York","priceline.com","148","2016-01-06"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","105","2016-01-06"
"Doubletree Metropolitan","Expedia","121","2016-01-06"
"New York Marriott Marquis","Amoma.com","256","2016-01-06"
"Ramada Inn Eastside","Amoma.com","124","2016-01-06"
"Courtyard New York Manhattan - Chelsea","Amoma.com","187","2016-01-06"
"Hampton Inn Manhattan-Seaport-Financial District","priceline.com","103","2016-01-06"
"Pod 39","Expedia","85","2016-01-06"
"Courtyard New York Times Square West","Amoma.com","226","2016-01-06"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","94","2016-01-06"
"Hudson","Venere.com","117","2016-01-06"
"Park Central","Hotels.com","119","2016-01-06"
"Paramount","priceline.com","112","2016-01-06"
"New York Palace","Prestigia","316","2016-01-07"
"Hotel Pennsylvania","Official hotel website","118","2016-01-07"
"The Jane","Booking.com","88","2016-01-07"
"Novotel New York Times Square","Official hotel website","237","2016-01-07"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","131","2016-01-07"
"Row NYC","Booking.com","177","2016-01-07"
"Hampton Inn New York - 35th Street - Empire State Building","BookIt.com","158","2016-01-07"
"Holiday Inn Express NYC Madison Square Garden","Official hotel website","167","2016-01-07"
"The Leon Hotel","priceline.com","177","2016-01-07"
"Warwick New York","Orbitz","217","2016-01-07"
"Distrikt Hotel","Hotwire","177","2016-01-07"
"Doubletree New York City - Chelsea","Orbitz","151","2016-01-07"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","165","2016-01-07"
"Wyndham New Yorker","Orbitz","140","2016-01-07"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","207","2016-01-07"
"Doubletree Metropolitan","Hotwire","158","2016-01-07"
